B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
1666,2086,2192,2637,2647,2775,2534,2855,13.0,77.5
1052,1400,1548,2033,2091,2220,1931,2234,13.0,77.5
1042,1024,1196,1787,1811,1802,1677,1884,13.0,77.5
939,1232,1274,1652,1830,1848,1823,1913,13.0,77.5
1186,1394,1526,1928,1902,1924,1832,1987,13.0,77.5
1142,1302,1228,1760,1921,1892,1893,1905,13.0,77.5
990,1196,1282,1733,1865,2097,1635,1967,13.0,77.5
1318,1278,1592,2019,2149,2148,1875,2098,13.0,77.5
960,1260,1632,1821,1993,2069,1772,2067,13.0,77.5
1092,1526,1448,1963,2065,2095,1843,2221,13.0,77.5
882,1138,1555,1905,2080,2196,2110,2111,13.0,77.5
1414,1504,1881,1972,2099,2308,2023,2189,13.0,77.5
1138,1634,1920,2162,2167,2318,2207,2410,13.0,77.5
1166,1462,1704,2048,2042,2296,2036,2287,13.0,77.5
1322,1626,1673,2063,2285,2194,2055,2314,13.0,77.5
1394,1658,1888,2222,2215,2350,2238,2552,13.0,77.5
1844,2102,2273,2356,2647,2638,2666,2713,13.0,77.5
1760,1860,2112,2389,2593,2586,2674,2709,13.0,77.5
1676,1754,1925,2363,2368,2519,2500,2630,13.0,77.5
1336,1682,1917,2309,2397,2540,2400,2676,13.0,77.5
1392,1782,1986,2172,2404,2549,2283,2562,13.0,77.5
1602,1838,2156,2451,2565,2682,2553,2723,13.0,77.5
2040,2440,2406,2654,2689,2944,2653,2898,13.0,77.5
1170,1578,1694,2087,2257,2202,2061,2414,13.0,77.5
1286,1614,1838,2343,2356,2494,2150,2583,13.0,77.5
1256,1526,1808,1983,2152,2289,2056,2374,13.0,77.5
1052,1494,1532,1832,1986,2104,1852,2151,13.0,77.5
1448,1472,1342,1559,1626,1768,1698,1743,25.3,83.0
1976,1952,1822,2010,2084,2106,2106,2084,25.3,83.0
4184,3958,3330,3342,3222,3172,4196,3113,25.3,83.0
973,1066,1180,1449,1617,1718,1814,1841,25.3,83.0
784,944,1122,1452,1642,1755,1844,1897,25.3,83.0
980,1070,1178,1457,1627,1727,1814,1854,25.3,83.0
810,974,1140,1471,1662,1772,1866,1920,25.3,83.0
998,1128,1296,1489,1683,1771,1892,1849,25.3,83.0
780,992,1250,1464,1690,1793,1954,1884,25.3,83.0
1032,1148,1310,1488,1680,1766,1900,1837,25.3,83.0
845,1048,1302,1508,1741,1852,2018,1942,25.3,83.0
869,1046,1216,1514,1636,1878,1898,1947,25.3,83.0
731,947,1126,1502,1623,1873,1854,1939,25.3,83.0
944,1092,1238,1528,1647,1876,1895,1940,25.3,83.0
843,1032,1192,1555,1676,1927,1909,1989,25.3,83.0
926,1086,1216,1526,1662,1810,1958,1894,25.3,83.0
917,1064,1196,1515,1644,1787,1904,1870,25.3,83.0
826,1016,1174,1515,1656,1819,1982,1911,25.3,83.0
974,1122,1242,1553,1691,1840,1986,1918,25.3,83.0
977,1118,1236,1525,1712,1834,1894,1906,25.3,83.0
912,1104,1258,1534,1752,1899,2008,1968,25.3,83.0
982,1118,1230,1531,1720,1847,1898,1915,25.3,83.0
940,1122,1272,1549,1769,1918,2029,1988,25.3,83.0
867,1096,1228,1530,1739,1889,1932,1951,25.3,83.0
797,1054,1200,1520,1740,1899,1946,1965,25.3,83.0
924,1154,1274,1544,1757,1918,1981,1983,25.3,83.0
872,1138,1270,1560,1789,1958,2023,2019,25.3,83.0
924,1160,1364,1599,1731,1893,1970,2007,25.3,83.0
704,1026,1308,1582,1729,1918,2008,2047,25.3,83.0
812,1088,1330,1575,1717,1900,1983,2026,25.3,83.0
